title,date,url,tags,description
"Secretary Delivers Remarks on the Transatlantic Partnership",2023-04-12,https://www.state.gov/secretary-remarks-transatlantic-partnership/,"Diplomacy, Europe","Public remarks on strengthening U.S.-Europe cooperation."
"United States Announces New Humanitarian Assistance","June 5, 2022",https://www.state.gov/us-announces-new-humanitarian-assistance/,"Humanitarian Aid, Foreign Assistance","Announcement of additional humanitarian funding."
"Joint Statement on Indo-Pacific Cooperation",2024-01-22,https://www.state.gov/joint-statement-indo-pacific-cooperation/,"Indo-Pacific, Security","Multilateral statement following ministerial talks."
"Fact Sheet: Advancing Global Health Security",14 March 2024,https://www.state.gov/fact-sheet-global-health-security/,"Global Health","Summary of U.S. global health security commitments."
"Readout of the Secretary's Call with the Foreign Minister",2021-11-08,https://www.state.gov/readout-secretary-call-foreign-minister/,"Diplomacy","Readout of a bilateral phone call."
"United States Imposes Sanctions on Illicit Networks","September 30, 2022",https://www.state.gov/us-imposes-sanctions-illicit-networks/,"Sanctions, Economic Affairs","Designations targeting transnational illicit finance."
"Statement on World Press Freedom Day",2023-05-03,https://www.state.gov/statement-world-press-freedom-day/,"Human Rights, Press Freedom","Statement marking World Press Freedom Day."
"Launch of a New Educational Exchange Initiative",2022-08-17,https://www.state.gov/launch-educational-exchange-initiative/,"Public Diplomacy, Education","New people-to-people exchange program announced."
"Briefing on Climate Diplomacy Ahead of COP",November 2023,https://www.state.gov/briefing-climate-diplomacy-cop/,"Climate, Energy","Press briefing previewing climate negotiations."
"United States Hosts Summit on Democratic Renewal",2021-12-09,https://www.state.gov/us-hosts-summit-democratic-renewal/,"Democracy, Human Rights","Convening of partners on democratic resilience."
"Remarks at the Release of the Annual Human Rights Report",2024-04-22,https://www.state.gov/remarks-release-human-rights-report/,"Human Rights","Remarks accompanying the annual report's release."
"Joint Communique on Trade and Investment",2023-07-14,https://www.state.gov/joint-communique-trade-investment/,"Trade, Economic Affairs","Outcome statement from a trade and investment dialogue."
